page,clicks,impressions,ctr_percent,position,estimated_ctr_gap_clicks,recommended_action,opportunity_score
https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,7,1729,0.4,6.99,79.53,review_snippet_and_intent_after_post_release_window,100.0
https://jftagro.com/packing-calculator.html,11,1444,0.76,6.9,61.23,review_snippet_and_intent_after_post_release_window,78.8
https://jftagro.com/blog-import-duty-indian-rice-by-country.html,4,325,1.23,7.98,12.25,review_snippet_and_intent_after_post_release_window,20.7
https://jftagro.com/blog-india-vs-thailand-rice-comparison.html,9,381,2.36,6.99,10.06,review_snippet_and_intent_after_post_release_window,18.4
https://jftagro.com/blog-turmeric-finger-export-india-2026.html,1,231,0.43,7.83,10.56,review_snippet_and_intent_after_post_release_window,18.4
https://jftagro.com/port-transit-calculator.html,4,528,0.76,16.05,7.81,review_snippet_and_intent_after_post_release_window,16.2
https://jftagro.com/ms/blog-red-chilli-teja-export-india-2026.html,0,177,0.0,7.34,8.85,review_snippet_and_intent_after_post_release_window,16.1
https://jftagro.com/blog-psyllium-husk-export-india-2026.html,3,230,1.3,7.12,8.51,review_snippet_and_intent_after_post_release_window,16.0
https://jftagro.com/about.html,12,245,4.9,4.23,7.59,review_snippet_and_intent_after_post_release_window,15.1
https://jftagro.com/blog-basmati-export-guide.html,0,143,0.0,8.67,7.15,review_snippet_and_intent_after_post_release_window,13.9
https://jftagro.com/uae-trade.html,10,601,1.66,14.29,4.29,review_snippet_and_intent_after_post_release_window,12.3
https://jftagro.com/privacy.html,0,78,0.0,4.96,6.24,review_snippet_and_intent_after_post_release_window,12.2
https://jftagro.com/ms/port-transit-calculator.html,0,112,0.0,9.06,5.6,review_snippet_and_intent_after_post_release_window,11.9
https://jftagro.com/products.html,0,110,0.0,8.55,5.5,review_snippet_and_intent_after_post_release_window,11.7
https://jftagro.com/certificates.html,2,93,2.15,4.87,5.44,review_snippet_and_intent_after_post_release_window,11.5
https://jftagro.com/blog-how-to-import-rice-nigeria-west-africa.html,0,97,0.0,7.36,4.85,review_snippet_and_intent_after_post_release_window,10.8
https://jftagro.com/fr/,1,102,0.98,5.69,4.1,review_snippet_and_intent_after_post_release_window,10.0
https://jftagro.com/id/port-transit-calculator.html,0,76,0.0,8.64,3.8,review_snippet_and_intent_after_post_release_window,9.4
https://jftagro.com/blog-indian-white-rice-export-policy-2026-latest-updates.html,0,134,0.0,10.75,2.85,review_snippet_and_intent_after_post_release_window,8.9
https://jftagro.com/quote-calculator.html,75,1468,5.11,7.9,0.0,strengthen_conversion_measurement,8.4
https://jftagro.com/asia-trade.html,1,116,0.86,14.17,1.62,review_snippet_and_intent_after_post_release_window,7.3
https://jftagro.com/cotton-seed-oil-cake-exporter.html,0,47,0.0,7.81,2.35,review_snippet_and_intent_after_post_release_window,7.2
https://jftagro.com/,93,469,19.83,6.32,0.0,strengthen_conversion_measurement,7.1
https://jftagro.com/contact.html,13,263,4.94,7.06,0.16,review_snippet_and_intent_after_post_release_window,6.6
https://jftagro.com/blog.html,0,141,0.0,28.72,0.78,expand_relevant_content_and_links_after_validation,6.6
https://jftagro.com/shipment-tracker.html,2,65,3.08,7.49,1.25,review_snippet_and_intent_after_post_release_window,6.3
https://jftagro.com/blog-spice-trends-2026.html,1,76,1.32,17.22,0.76,review_snippet_and_intent_after_post_release_window,5.9
https://jftagro.com/ms/blog-psyllium-husk-export-india-2026.html,1,74,1.35,17.86,0.72,review_snippet_and_intent_after_post_release_window,5.8
https://jftagro.com/blog-how-to-export-india-to-africa.html,0,51,0.0,10.59,1.08,review_snippet_and_intent_after_post_release_window,5.8
https://jftagro.com/africa-trade.html,5,137,3.65,15.57,0.0,strengthen_conversion_measurement,5.7
https://jftagro.com/fr/port-transit-calculator.html,1,41,2.44,7.17,1.05,review_snippet_and_intent_after_post_release_window,5.5
https://jftagro.com/turmeric-finger-exporter.html,1,40,2.5,8.5,1.0,review_snippet_and_intent_after_post_release_window,5.4
https://jftagro.com/terms.html,0,21,0.0,1.1,1.47,defend_and_monitor,5.2
https://jftagro.com/sample-request.html,0,19,0.0,3.79,1.52,review_snippet_and_intent_after_post_release_window,5.2
https://jftagro.com/blog-turmeric-market-outlook-2026.html,0,24,0.0,7.79,1.2,review_snippet_and_intent_after_post_release_window,5.1
https://jftagro.com/europe-trade.html,3,64,4.69,8.72,0.2,review_snippet_and_intent_after_post_release_window,5.0
https://jftagro.com/blog-top-indian-agro-commodities-import-2026.html,4,72,5.56,6.12,0.0,strengthen_conversion_measurement,4.9
https://jftagro.com/id/turmeric-finger-exporter.html,0,21,0.0,9.1,1.05,review_snippet_and_intent_after_post_release_window,4.8
https://jftagro.com/moringa-powder-exporter.html,0,46,0.0,24.93,0.25,expand_relevant_content_and_links_after_validation,4.7
https://jftagro.com/faq.html,0,16,0.0,4.19,1.28,review_snippet_and_intent_after_post_release_window,4.7
https://jftagro.com/pt/blog-apeda-registration-indian-exporter-explained.html,0,28,0.0,13.57,0.6,review_snippet_and_intent_after_post_release_window,4.6
https://jftagro.com/blog-cif-fob-explained.html,0,27,0.0,17.19,0.57,review_snippet_and_intent_after_post_release_window,4.5
https://jftagro.com/indian-raisins-kishmish-exporter.html,0,26,0.0,17.58,0.55,review_snippet_and_intent_after_post_release_window,4.4
https://jftagro.com/blog-india-uae-cepa.html,0,25,0.0,10.2,0.53,review_snippet_and_intent_after_post_release_window,4.4
https://jftagro.com/semolina-sooji-rava-exporter.html,0,23,0.0,16.57,0.49,review_snippet_and_intent_after_post_release_window,4.2
https://jftagro.com/id/,0,13,0.0,4.92,1.04,review_snippet_and_intent_after_post_release_window,4.2
https://jftagro.com/wheat-flour-chakki-fresh-atta-exporter.html,3,33,9.09,8.94,0.0,strengthen_conversion_measurement,4.1
https://jftagro.com/psyllium-husk-exporter.html,0,30,0.0,20.47,0.17,expand_relevant_content_and_links_after_validation,4.1
https://jftagro.com/ar/infrastructure.html,1,25,4.0,9.36,0.25,review_snippet_and_intent_after_post_release_window,4.0
https://jftagro.com/tamarind-exporter.html,0,20,0.0,10.75,0.42,review_snippet_and_intent_after_post_release_window,4.0
https://jftagro.com/ru/blog-indian-white-rice-export-policy-2026-latest-updates.html,0,15,0.0,7.0,0.75,review_snippet_and_intent_after_post_release_window,4.0
https://jftagro.com/galangal-root-exporter.html,0,14,0.0,9.79,0.7,review_snippet_and_intent_after_post_release_window,3.9
https://jftagro.com/quality-control.html,0,14,0.0,7.21,0.7,review_snippet_and_intent_after_post_release_window,3.9
